"","strain","lineage","serotype","temperature","nis_conc","nisin","day","replicate","MPN_CVT","note","elimination","nc","max_tmt","agegroup"
"1","FSL F2-0310","I","4b",7,25,"minus",1,1,2.41,NA,0,0,"no","7_25_1"
"2","FSL L3-0051","I","12b",7,25,"minus",1,1,1.71,NA,0,0,"no","7_25_1"
"3","FSL F2-0237","II","12a",7,25,"minus",1,1,2.41,NA,0,0,"no","7_25_1"
"4","FSL F2-0310","I","4b",7,25,"plus",1,1,2.79,NA,0,25,"no","7_25_1"
"5","FSL L3-0051","I","12b",7,25,"plus",1,1,-0.7,NA,0,25,"no","7_25_1"
"6","FSL F2-0237","II","12a",7,25,"plus",1,1,2.12,NA,0,25,"no","7_25_1"
"7","FSL F2-0310","I","4b",7,25,"minus",15,1,7.1,NA,0,0,"no","7_25_1"
"8","FSL L3-0051","I","12b",7,25,"minus",15,1,7.02,NA,0,0,"no","7_25_1"
"9","FSL F2-0237","II","12a",7,25,"minus",15,1,7.94,NA,0,0,"no","7_25_1"
"10","FSL F2-0310","I","4b",7,25,"plus",15,1,7.27,NA,0,25,"no","7_25_1"
"11","FSL L3-0051","I","12b",7,25,"plus",15,1,3.12,NA,0,25,"no","7_25_1"
"12","FSL F2-0237","II","12a",7,25,"plus",15,1,6.82,NA,0,25,"no","7_25_1"
"13","FSL F2-0310","I","4b",7,25,"minus",30,1,9.05,NA,0,0,"no","7_25_1"
"14","FSL L3-0051","I","12b",7,25,"minus",30,1,8.74,NA,0,0,"no","7_25_1"
"15","FSL F2-0237","II","12a",7,25,"minus",30,1,8.96,NA,0,0,"no","7_25_1"
"16","FSL F2-0310","I","4b",7,25,"plus",30,1,9.14,NA,0,25,"no","7_25_1"
"17","FSL L3-0051","I","12b",7,25,"plus",30,1,6.77,NA,0,25,"no","7_25_1"
"18","FSL F2-0237","II","12a",7,25,"plus",30,1,8.93,NA,0,25,"no","7_25_1"
"19","FSL F2-0310","I","4b",4,25,"minus",1,1,2.41,NA,0,0,"no","4_25_1"
"20","FSL L3-0051","I","12b",4,25,"minus",1,1,1.62,NA,0,0,"no","4_25_1"
"21","FSL F2-0237","II","12a",4,25,"minus",1,1,2.12,NA,0,0,"no","4_25_1"
"22","FSL F2-0310","I","4b",4,25,"plus",1,1,1.38,NA,0,25,"no","4_25_1"
"23","FSL L3-0051","I","12b",4,25,"plus",1,1,1.33,NA,0,25,"no","4_25_1"
"24","FSL F2-0237","II","12a",4,25,"plus",1,1,2.41,NA,0,25,"no","4_25_1"
"25","FSL F2-0310","I","4b",4,25,"minus",15,1,5.71,NA,0,0,"no","4_25_1"
"26","FSL L3-0051","I","12b",4,25,"minus",15,1,5.59,NA,0,0,"no","4_25_1"
